segment_id,ESALs,age_years,current_PCI
SEG-0120,903935,9,64
SEG-0121,668020,16,84
SEG-0122,429121,19,93
SEG-0123,702996,12,81
SEG-0124,387084,6,58
SEG-0125,990879,15,51
SEG-0126,671029,1,99
SEG-0127,172076,23,61
SEG-0128,287306,7,41
SEG-0129,200239,22,70
SEG-0130,293207,9,53
SEG-0131,422866,9,22
SEG-0132,718877,25,71
SEG-0133,846208,14,54
SEG-0134,151599,8,63
SEG-0135,478154,25,41
SEG-0136,198441,6,22
SEG-0137,713322,13,89
SEG-0138,858871,24,23
SEG-0139,582096,8,79
SEG-0140,226810,16,58
SEG-0141,752996,22,61
SEG-0142,760091,19,89
SEG-0143,320330,15,78
SEG-0144,384278,19,68
SEG-0145,374409,28,34
SEG-0146,154621,16,85
SEG-0147,144590,17,41
SEG-0148,281343,13,26
SEG-0149,626524,4,60
SEG-0150,856231,7,44
SEG-0151,587936,6,24
SEG-0152,989714,18,66
SEG-0153,544786,1,80
SEG-0154,421899,16,78
SEG-0155,345755,18,91
SEG-0156,538544,1,32
SEG-0157,828445,16,60
SEG-0158,523112,27,90
SEG-0159,445247,28,78
SEG-0160,630716,13,56
SEG-0161,550899,9,31
SEG-0162,754932,26,32
SEG-0163,500008,19,82
SEG-0164,915313,10,82
SEG-0165,840428,10,69
SEG-0166,290223,23,85
SEG-0167,231037,3,91
SEG-0168,835041,24,60
SEG-0169,848504,1,91
SEG-0170,783840,11,34
SEG-0171,770557,3,46
SEG-0172,715426,22,39
SEG-0173,599779,29,84
SEG-0174,933341,27,83
SEG-0175,335710,7,26
SEG-0176,450523,15,82
SEG-0177,686188,28,96
SEG-0178,783672,4,31
SEG-0179,617197,20,55
SEG-0180,755377,16,72
SEG-0181,527166,9,52
SEG-0182,978925,22,26
SEG-0183,122388,7,29
SEG-0184,891656,26,63
SEG-0185,784122,26,33
SEG-0186,814292,19,76
SEG-0187,409635,24,25
SEG-0188,179518,7,52
SEG-0189,895331,9,92
SEG-0190,454388,10,91
SEG-0191,213583,17,46
SEG-0192,241218,21,48
SEG-0193,952522,8,76
SEG-0194,917162,23,57
SEG-0195,596101,24,24
SEG-0196,266713,21,47
SEG-0197,959643,27,44
SEG-0198,913877,5,84
SEG-0199,117429,3,99
SEG-0200,268920,11,22
